critical_count,serious_count,minor_count,inspection_id
2.0,0.0,1.0,2288221
2.0,0.0,0.0,2288211
2.0,1.0,0.0,2286189
3.0,1.0,2.0,2286176
0.0,0.0,0.0,2286196
2.0,2.0,0.0,2286117
0.0,0.0,1.0,2286181
0.0,0.0,0.0,2286161
2.0,0.0,3.0,2286126
5.0,2.0,4.0,2286106
1.0,0.0,0.0,2286096
0.0,1.0,2.0,2286052
2.0,0.0,0.0,2286067
2.0,1.0,1.0,2286009
1.0,2.0,3.0,2286058
2.0,2.0,2.0,2286010
0.0,0.0,0.0,2285980
4.0,2.0,0.0,2286031
4.0,1.0,2.0,2285975
2.0,3.0,1.0,2286013
0.0,0.0,1.0,2286023
3.0,2.0,3.0,2286045
1.0,1.0,0.0,2285981
3.0,1.0,2.0,2285977
2.0,3.0,0.0,2285937
1.0,0.0,0.0,2285936
4.0,2.0,3.0,2285942
2.0,2.0,3.0,2285950
3.0,1.0,1.0,2285929
2.0,1.0,2.0,2285939
3.0,2.0,4.0,2285952
0.0,1.0,0.0,2285897
2.0,0.0,0.0,2285873
3.0,1.0,1.0,2285869
2.0,1.0,1.0,2285836
7.0,1.0,0.0,2285864
0.0,0.0,0.0,2285858
0.0,2.0,3.0,2285885
2.0,3.0,3.0,2285854
3.0,0.0,1.0,2285892
2.0,4.0,2.0,2285835
0.0,0.0,0.0,2285839
2.0,2.0,0.0,2285808
1.0,0.0,1.0,2285761
3.0,1.0,1.0,2285778
2.0,0.0,1.0,2285823
2.0,1.0,1.0,2285828
2.0,3.0,0.0,2285791
2.0,0.0,0.0,2285819
2.0,3.0,5.0,2285795
1.0,0.0,0.0,2285744
2.0,2.0,1.0,2285742
0.0,0.0,0.0,2285741
1.0,0.0,0.0,2285763
0.0,0.0,1.0,2285758
2.0,3.0,3.0,2285822
2.0,1.0,1.0,2285787
0.0,0.0,0.0,2285694
2.0,1.0,2.0,2285675
3.0,3.0,2.0,2285697
2.0,1.0,1.0,2285719
0.0,0.0,1.0,2285729
3.0,0.0,1.0,2285715
2.0,1.0,0.0,2285706
0.0,0.0,3.0,2285707
1.0,0.0,1.0,2285727
4.0,2.0,0.0,2285723
6.0,2.0,4.0,2285686
0.0,0.0,1.0,2285576
1.0,1.0,1.0,2285616
3.0,1.0,0.0,2285650
0.0,0.0,0.0,2285587
4.0,4.0,5.0,2285614
1.0,1.0,1.0,2285656
0.0,2.0,1.0,2285627
2.0,0.0,1.0,2285646
0.0,0.0,0.0,2285635
2.0,2.0,0.0,2285585
1.0,0.0,0.0,2285573
2.0,1.0,1.0,2285657
1.0,0.0,2.0,2285621
2.0,2.0,2.0,2285612
3.0,1.0,1.0,2285639
2.0,2.0,2.0,2285661
1.0,0.0,0.0,2285592
2.0,1.0,2.0,2285642
0.0,1.0,0.0,2285599
5.0,1.0,2.0,2285593
2.0,1.0,0.0,2285645
0.0,0.0,0.0,2285611
5.0,1.0,1.0,2285586
0.0,0.0,1.0,2285522
0.0,1.0,0.0,2285508
3.0,2.0,4.0,2285557
0.0,0.0,1.0,2285567
2.0,2.0,0.0,2285520
2.0,1.0,0.0,2285527
4.0,2.0,2.0,2285545
2.0,0.0,1.0,2285511
1.0,0.0,0.0,2285498
2.0,4.0,2.0,2285553
1.0,0.0,0.0,2285503
0.0,0.0,0.0,2285563
3.0,2.0,2.0,2285530
2.0,3.0,4.0,2285564
3.0,3.0,2.0,2285566
1.0,2.0,2.0,2285562
3.0,2.0,3.0,2285526
3.0,1.0,1.0,2285546
3.0,2.0,3.0,2285517
2.0,4.0,1.0,2285543
0.0,0.0,0.0,2285443
0.0,0.0,0.0,2285433
2.0,0.0,0.0,2285437
3.0,1.0,3.0,2285469
3.0,0.0,1.0,2285473
4.0,3.0,1.0,2285468
4.0,0.0,2.0,2285464
2.0,4.0,0.0,2285459
1.0,0.0,1.0,2285476
2.0,1.0,1.0,2285480
2.0,0.0,0.0,2285478
0.0,0.0,2.0,2285475
0.0,3.0,0.0,2285485
3.0,0.0,2.0,2285435
0.0,0.0,2.0,2285444
2.0,2.0,1.0,2285470
3.0,1.0,0.0,2285382
2.0,3.0,2.0,2285381
3.0,2.0,1.0,2285374
3.0,2.0,0.0,2285414
2.0,1.0,0.0,2285360
0.0,1.0,2.0,2285426
0.0,1.0,2.0,2285387
2.0,1.0,0.0,2285344
0.0,0.0,1.0,2285407
0.0,0.0,1.0,2285354
0.0,0.0,1.0,2285380
2.0,2.0,5.0,2285403
4.0,4.0,2.0,2285421
0.0,0.0,0.0,2285427
2.0,1.0,1.0,2285367
2.0,2.0,1.0,2285409
4.0,0.0,1.0,2285423
2.0,2.0,2.0,2285404
2.0,0.0,2.0,2285378
2.0,0.0,1.0,2285398
2.0,2.0,1.0,2285373
2.0,2.0,1.0,2285401
2.0,2.0,4.0,2285410
2.0,1.0,2.0,2285390
0.0,0.0,0.0,2285388
2.0,2.0,4.0,2285366
1.0,1.0,1.0,2285314
2.0,2.0,1.0,2285315
2.0,1.0,2.0,2285294
